Codigo_Interno,Pepítideo,Dosagem,Unidade
5AM,5-Amino-1MQ,5,MG
10AM,5-Amino-1MQ,10,MG
50AM,5-Amino-1MQ,50,MG
AE1,ACE-031,1,MG
AA3,Acetic Acid,3,ML
AA10,Acetic Acid,10,ML
AD5,Adamax,5,MG
AD10,Adamax,10,MG
AP2,Adipotide,2,MG
AP5,Adipotide,5,MG
AP10,Adipotide,10,MG
AR50,AICAR,50,MG
AR100,AICAR,100,MG
2AD,AOD-9604,2,MG
5AD,AOD-9604,5,MG
10AD,AOD-9604,10,MG
RA10,ARA-290,10,MG
BA3,BAC Water,3,ML
BA10,BAC Water,10,ML
XT100,Botulinum Toxin,100,IU
BC2,BPC-157,2,MG
BC5,BPC-157,5,MG
BC10,BPC-157,10,MG
BB10,BPC-157 + TB-500,10,MG
BB20,BPC-157 + TB-500,20,MG
BB30,BPC-157 + TB-500,30,MG
CGL2,Cagrilintide,2,MG
CGL5,Cagrilintide,5,MG
CGL10,Cagrilintide,10,MG
CS5,Cagrilintide + Semaglutide,5,MG
CS10,Cagrilintide + Semaglutide,10,MG
CS20,Cagrilintide + Semaglutide,20,MG
CBL60,Cerebrolysin,60,MG
CND5,CJC-1295 (no DAC),5,MG
CND10,CJC-1295 (no DAC),10,MG
CP10,CJC-1295 (no DAC) + Ipamorelin,10,MG
CD2,CJC-1295 (with DAC),2,MG
CD5,CJC-1295 (with DAC),5,MG
COR20,Cortagen,20,MG
CRY20,Crystagen,20,MG
DR2,Dermorphin,2,MG
DR10,Dermorphin,10,MG
DS2,DSIP,2,MG
DS5,DSIP,5,MG
DS10,DSIP,10,MG
ET10,Epithalon,10,MG
ET50,Epithalon,50,MG
E3K,EPO,3000,IU
FD10,FOXO4-DRI,10,MG
G610,G-610,10,MG
CU50,GHK-Cu,50,MG
CU100,GHK-Cu,100,MG
G25,GHRP-2,5,MG
G210,GHRP-2,10,MG
G215,GHRP-2,15,MG
G65,GHRP-6,5,MG
BBG70,Glow,70,MG
GT600,Glutathione,600,MG
GT1500,Glutathione,1500,MG
GND2,Gonadorelin,2,MG
GND5,Gonadorelin,5,MG
G1K,HCG,1000,IU
G2K,HCG,2000,IU
G5K,HCG,5000,IU
G10K,HCG,10000,IU
HEX5,Hexarelin,5,MG
H10,HGH 191-AA (Somatropin),10,IU
H12,HGH 191-AA (Somatropin),12,IU
H15,HGH 191-AA (Somatropin),15,IU
H24,HGH 191-AA (Somatropin),24,IU
H36,HGH 191-AA (Somatropin),36,IU
H40,HGH 191-AA (Somatropin),40,IU
FR1,HGH Fragment 176-191,1,IU
FR2,HGH Fragment 176-191,2,IU
FR5,HGH Fragment 176-191,5,IU
FR10,HGH Fragment 176-191,10,IU
FR12,HGH Fragment 176-191,12,IU
FR15,HGH Fragment 176-191,15,IU
G75,HMG (Human Menopausal Gonadotropin),75,IU
IG1,IGF-1 LR3,1,MG
IG01,IGF-1 LR3,100,MCG
IPA5,Ipamorelin,5,MG
IPA10,Ipamorelin,10,MG
KS5,Kisspeptin-10,5,MG
KS10,Kisspeptin-10,10,MG
KL80,Klow,80,MG
KPV5,KPV,5,MG
KPV10,KPV,10,MG
LB10,Lemon Bottle,10,ML
LC216,Lipo C,10,ML
LC120,Lipo-C,120,MG
LL5,Liraglutide,5,MG
MDT10,Mazdutide,10,MG
MTI10,Melanotan I,10,MG
MTII10,Melanotan II,10,MG
FM2,MGF,2,MG
MOT10,MOTS-C,10,MG
MOT40,MOTS-C,40,MG
NAD100,NAD+,100,MG
NAD500,NAD+,500,MG
OXY2,Oxytocin Acetate,2,MG
OXY5,Oxytocin Acetate,5,MG
OXY10,Oxytocin Acetate,10,MG
PE5,PE-22-28,5,MG
PE10,PE-22-28,10,MG
FMP2,PEG-MGF,2,MG
PN5,Pinealon,5,MG
RT5,Retatrutide,5,MG
RT10,Retatrutide,10,MG
RT15,Retatrutide,15,MG
RT20,Retatrutide,20,MG
RT30,Retatrutide,30,MG
RT50,Retatrutide,50,MG
RT60,Retatrutide,60,MG
SLK5,Selank,5,MG
SLK10,Selank,10,MG
SM2,Semaglutide,2,MG
SM5,Semaglutide,5,MG
SM10,Semaglutide,10,MG
SM15,Semaglutide,15,MG
SM20,Semaglutide,20,MG
SM30,Semaglutide,30,MG
SM50,Semaglutide,50,MG
SMX5,Semax,5,MG
SMX10,Semax,10,MG
SRM2,Sermorelin Acetate,2,MG
SRM5,Sermorelin Acetate,5,MG
SRM10,Sermorelin Acetate,10,MG
SLU5,SLU-PP-332,5,MG
SNP10,Snap-8,10,MG
SNP100,Snap-8,100,MG
SS5,SS-31,5,MG
SS10,SS-31,10,MG
SS50,SS-31,50,MG
SUR10,Survodutide,10,MG
TB2,TB-500,2,MG
TB5,TB-500,5,MG
TB10,TB-500,10,MG
TESA2,Tesamorelin,2,MG
TESA5,Tesamorelin,5,MG
TESA10,Tesamorelin,10,MG
TY10,Thymalin,10,MG
TA5,Thymosin Alpha-1,5,MG
TA10,Thymosin Alpha-1,10,MG
TR2,Tirzepatide,2,MG
TR5,Tirzepatide,5,MG
TR10,Tirzepatide,10,MG
TR15,Tirzepatide,15,MG
TR20,Tirzepatide,20,MG
TR30,Tirzepatide,30,MG
TR40,Tirzepatide,40,MG
TR50,Tirzepatide,50,MG
TR60,Tirzepatide,60,MG
TR80,Tirzepatide,80,MG
TR100,Tirzepatide,100,MG
VIP5,VIP,5,MG
VIP10,VIP,10,MG
AA5,Acetic Acid,5,ML
AU50,AHK-CU,50,MG
B1201,B12,1,MG
B72,B7-33,2,MG
B710,B7-33,10,MG
BR20,Bronchogen,20,MG
CA20,Cardiogen,20,MG
LAX20,Cartalax,20,MG
DR5,Dermorphin,5,MG
DL5,Dulaglutide,5,MG
DL10,Dulaglutide,10,MG
F410,FOXO4,10,MG
FD2,FOXO4-DRI,2,MG
FRG10,Frag 17-23,10,MG
FAP5,FTPP Adipotide,5,MG
GDF1,GDF-8,1,MG
CU2,GHK-Cu,2,MG
HEX2,Hexarelin,2,MG
H6,HGH 191-AA (Somatropin),6,IU
H8,HGH 191-AA (Somatropin),8,IU
HU10,Humanin,10,MG
IPA2,Ipamorelin,2,MG
LC600,L-Carnitine,600,MG
LC1200,L-Carnitine,1200,MG
LG5,Liraglutide,5,MG
LG10,Liraglutide,10,MG
LG30,Liraglutide,30,MG
MA10,Matrixyl,10,MG
NAD1000,NAD+,1000,MG
PN10,Pinealon,10,MG
PNC5,PNC-27,5,MG
PT10,PT-141,10,MG
TBF5,TB-500 Fragment,5,MG
TBF10,TB-500 Fragment,10,MG
TESA20,Tesamorelin,20,MG
TRI2,Triptorelin Acetate,2,MG
VE20,Vesugen,20,MG
PRO20,Alprostadil,20,MCG
B1210,B12,2,ML
CND2,CJC-1295 (no DAC),2,MG
ET5,Epithalon,5,MG
FN1,Follistatin-344,1,MG
BBG50,Glow,50,MG
GP5,GLP-1,5,MG
HA5,Hyaluronic Acid,5,MG
IGFDES01,IGF-1 DES,100,MCG
MTI5,Melanotan I,5,MG
FMP10,PEG-MGF,10,MG
PN20,Pinealon,20,MG
PNC10,PNC-27,10,MG
RT25,Retatrutide,25,MG
RT35,Retatrutide,35,MG
RT40,Retatrutide,40,MG
TESA15,Tesamorelin,15,MG
TA2,Thymosin Alpha-1,2,MG
DS15,DSIP,15,MG
GT1200,Glutathione,1200,MG
IGFDES2,IGF-1 DES,2,MG
RT24,Retatrutide,24,MG
RT36,Retatrutide,36,MG
TR45,Tirzepatide,45,MG
AU100,AHK-CU,100,MG
BC15,BPC-157,15,MG
BC20,BPC-157,20,MG
BC30,BPC-157,30,MG
CD10,CJC-1295 (with DAC),10,MG
MDT5,Mazdutide,5,MG
TR120,Tirzepatide,120,MG
HEX10,Hexarelin,10,MG
ISU1,Insulin,1,ML
MT10,Melatonin,10,MG
MOT20,MOTS-C,20,MG
MOT30,MOTS-C,30,MG
